time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1229,161,97,70.79,-27.596288681030273,198656,-26.91965013742447,178.8969211578369,0.00046504746666666664,0.2,77.29923248291016,0.42333984375,1.183558702468872,960,0.7127101421356201,-0.08188423733226954,0.063751906
1229,163,98,69.86,-28.79336929321289,200704,-26.94252291917801,107.08193423748017,0.0004646833777777778,0.2,30.35306739807129,0.4630859375,1.185172200202942,970,0.8294814825057983,-0.0822196230525151,0.07779957
1228,165,99,70.44,-28.126670837402344,202752,-26.982913208007812,179.49694018363954,0.00046431928888888887,0.2,62.10531234741211,0.418896484375,1.1895692348480225,980,0.7492117881774902,-0.08095908335526474,0.070598274
1228,166,100,67.91,-31.930503845214844,204800,-27.027881538867952,204.3867688179016,0.0004639552,0.2,70.88292694091797,0.41064453125,1.1922026872634888,990,0.7181134223937988,-0.07876937010441906,0.07709135
1224,168,101,70.32,-28.420930862426758,206848,-27.049988532066344,116.14563245773316,0.0004635911111111111,0.2,34.8353271484375,0.487353515625,1.1930888891220093,1000,0.8245221376419067,-0.08289142261492088,0.08947891
1225,170,102,71.9,-26.089313507080078,208896,-27.085853266716004,140.8142732143402,0.00046322702222222225,0.2,53.812442779541016,0.430419921875,1.1961216926574707,1010,0.7828766703605652,-0.08332054580096156,0.06965411
1224,172,103,73.57,-24.006322860717773,210944,-27.12648333311081,136.70483622550964,0.00046286293333333334,0.2,42.16801071166992,0.429736328125,1.1993921995162964,1020,0.774153470993042,-0.0798998482467141,0.07180689
1224,173,104,74.84,-21.95535659790039,212992,-27.17526912689209,134.27493081092834,0.0004624988444444445,0.2,40.98161315917969,0.432763671875,1.2030670642852783,1030,0.7709977030754089,-0.07851395565085113,0.07251751
1224,175,105,73.6,-23.92755699157715,215040,-27.2259983420372,136.47110149860382,0.00046213475555555557,0.2,47.165924072265625,0.4330078125,1.2066813707351685,1040,0.8017802238464355,-0.07656000619754195,0.07196888
1224,177,106,74.94,-21.981674194335938,217088,-27.248657417297363,194.2281349658966,0.0004617706666666667,0.2,79.30681610107422,0.393212890625,1.206502079963684,1050,0.741605281829834,-0.07431053019827231,0.058409866
1224,178,107,75.84,-20.341259002685547,219136,-27.25767562389374,121.17545881271363,0.0004614065777777778,0.2,39.47224426269531,0.4240234375,1.2081671953201294,1060,0.8151645064353943,-0.08029206396313385,0.063251786
1223,180,108,74.42,-22.453174591064453,221184,-27.288774847984314,160.4456166744232,0.00046104248888888895,0.2,41.6397819519043,0.4013671875,1.211001992225647,1070,0.7458786964416504,-0.08060589368687943,0.06546828
1223,182,109,71.89,-26.100683212280273,223232,-27.339659321308137,106.70089130401611,0.0004606784,0.2,27.17249870300293,0.476220703125,1.2150826454162598,1080,0.8507729172706604,-0.08296571901300923,0.07655181
1219,184,110,69.23,-30.25177574157715,225280,-27.367841410636903,149.85865540504454,0.00046031431111111113,0.2,39.66434860229492,0.44375,1.2163575887680054,1090,0.7900387644767761,-0.0841239236673573,0.06788503
1219,186,111,68.91,-30.481847763061523,227328,-27.40774244070053,125.74371802806854,0.0004599502222222222,0.2,38.4647331237793,0.476025390625,1.2202181816101074,1100,0.8089007139205933,-0.08424462953116744,0.084057935
1219,188,112,69.42,-29.825973510742188,229376,-27.451162505149842,93.6714844942093,0.00045958613333333336,0.2,32.706024169921875,0.454931640625,1.2235264778137207,1110,0.836001992225647,-0.08133096285746433,0.08620365
1218,189,113,73.13,-24.30706787109375,231424,-27.504412162303925,156.9533378124237,0.00045922204444444445,0.2,39.76799011230469,0.4025390625,1.2269140481948853,1120,0.7690550684928894,-0.07663168662693351,0.058190905
1219,191,114,73.53,-23.579336166381836,233472,-27.527238857746124,114.3842631816864,0.0004588579555555556,0.2,37.06576156616211,0.42763671875,1.227733850479126,1130,0.8285294771194458,-0.07501035625755322,0.06333938
1219,193,115,76.04,-19.837337493896484,235520,-27.52369627952576,117.47915470600128,0.0004584938666666667,0.2,33.304656982421875,0.420849609375,1.2264872789382935,1140,0.824451744556427,-0.07882041445700452,0.06612047
1218,194,116,76.03,-19.500774383544922,237568,-27.5300763964653,140.22046625614166,0.0004581297777777778,0.2,38.68937301635742,0.405078125,1.229095458984375,1150,0.7979658842086792,-0.08228392948512919,0.063850895
1217,196,117,73.24,-23.423734664916992,239616,-27.55596481561661,132.9549511909485,0.0004577656888888889,0.2,44.5413818359375,0.431689453125,1.2310402393341064,1160,0.8245499134063721,-0.07673768254462629,0.072220705
1217,198,118,71.51,-25.826026916503906,241664,-27.589029574394225,125.44634292125701,0.00045740160000000006,0.2,43.614097595214844,0.435498046875,1.233145833015442,1170,0.808517336845398,-0.07617973588057794,0.073834196
1214,200,119,71.4,-25.89706039428711,243712,-27.611107063293456,110.23677456378937,0.0004570375111111111,0.2,28.324886322021484,0.423828125,1.2353137731552124,1180,0.8190001249313354,-0.08122408960480243,0.06100024
1213,202,120,72.91,-23.692703247070312,245760,-27.639747703075408,128.71791110038757,0.0004566734222222222,0.2,30.705516815185547,0.4158203125,1.2378045320510864,1190,0.802825927734375,-0.0757628345862031,0.067699134
1213,204,121,74.08,-22.025266647338867,247808,-27.669784474372864,142.80106401443481,0.00045630933333333333,0.2,37.016292572021484,0.44541015625,1.23916494846344,1200,0.7985484600067139,-0.08199196087080055,0.06889564
1214,205,122,74.74,-21.241168975830078,249856,-27.67720000743866,145.2958181142807,0.0004559452444444444,0.2,45.81802749633789,0.389892578125,1.239426851272583,1210,0.7936621308326721,-0.07683076673420146,0.054839194
1214,207,123,74.61,-21.494373321533203,251904,-27.695969545841216,125.13708827495574,0.00045558115555555557,0.2,41.0467529296875,0.40087890625,1.2410578727722168,1220,0.8173146843910217,-0.07582637454615906,0.060399927
1215,208,124,73.08,-23.946611404418945,253952,-27.723299729824067,117.71776094436646,0.00045521706666666666,0.2,38.354034423828125,0.420166015625,1.2436833381652832,1230,0.8192007541656494,-0.07703464846126735,0.07251378
1215,210,125,74.35,-22.183652877807617,256000,-27.751816952228545,156.70715708732604,0.0004548529777777778,0.2,52.316009521484375,0.419873046875,1.2456681728363037,1240,0.7526172995567322,-0.08018306257436052,0.06209493
1216,212,126,74.16,-22.708820343017578,258048,-27.765202260017396,126.73710463047027,0.0004544888888888889,0.2,44.157169342041016,0.40078125,1.2459518909454346,1250,0.8130487203598022,-0.07801135925110429,0.07541573
